primaryEIC;eic;transparencyID;name;shortName;orgEic;transmissionId
40W000000000024T;40W000000000102Z;24;PAMUK HIDROELEKTRIK SANTRALI;Pamu84      ;40X0000000001097;1088
40W000000000024T;40W000000000102Z;24;PAMUK HIDROELEKTRIK SANTRALI;Pamu84      ;40X0000000001097;2415
40W000000000026P;40W000000002471V;26;ZORLU ENERJI BURSA SANTRALI;BURSA       ;40X000000000104H;875
40W000000000030Y;40W000000099506N;30;BALKUSAN HES;KAREN       ;40X000000000124B;945
40W000000000030Y;40W000000060690U;30;BALKUSAN HES;KAREN       ;40X000000000124B;945
40W000000000070M;40W000000003718I;70;COLAKOGLU OP-2;OP-2        ;40X000000000149W;694
40W000000000070M;40W000000000262D;70;COLAKOGLU OP-2;OP-2        ;40X000000000149W;694
40W000000000071K;40W0000000038736;71;COLAKOGLU GT-1;GT-1        ;40X000000000149W;1641
40W0000000000786;40W000000036978X;78;ESEN I HES;ESEN54      ;40X000000000123D;1464
40W000000000080J;40W000000000582W;80;SULEYMANLI HES;SULE6       ;40X0000000001607;1979
40W000000000082F;40W000000000591V;82;PETKIM PETROKIMYA HOLDING A.S.;PETKIM      ;40X000000000173Z;745
40W000000000084B;40W000000000602F;84;KALESERAMIK CANAKKALE KALEBODUR SER.SAN.AS.;Kale83      ;40X000000000169Q;737
40W0000000000867;40W000000000604B;86;ISDEMIR;ISDEMR      ;40X000000000179N;1241
40W000000000090G;40W000000002669A;90;DENIZLI CIMENTO;DenI44      ;40X0000000001372;1599
40W0000000000972;40W000003205527E;97;ANKARA DGKC SANTRALI;ANK.BA      ;40X0000000118168;893
40W000000000099Z;40W000003204406V;99;CAYIRHAN TERMIK SANTRALI;CAYIR       ;40X000000000195P;892
40W000000000099Z;40W000003204409P;99;CAYIRHAN TERMIK SANTRALI;CAYIR       ;40X000000000195P;892
40W000000000099Z;40W000003204408R;99;CAYIRHAN TERMIK SANTRALI;CAYIR       ;40X000000000195P;892
40W000000000099Z;40W000003204407T;99;CAYIRHAN TERMIK SANTRALI;CAYIR       ;40X000000000195P;892
40W0000000001002;40W0000032044006;100;TEKIRDAG DGKCS_A(DOGALGAZ/MOTORIN);UNIMAR      ;40X000000000195P;1112
40W0000000001010;40W000003205381G;101;ADAPAZARI DGKC SANTRALI;ADAP.D      ;40X000000011810K;662
40W000000000103X;40W0000032043992;103;TEKIRDAG DGKCS_B(DOGALGAZ/MOTORIN);TRAKYA      ;40X000000000195P;1224
